lat, lon, alt, ozone, mq7, mq135_ppm, mq135_cor, bmp180_temp, bmp180_press, exectime
50.278960, 19.719622, 462.960000, 0.000000, 1215, 4306.682617, 4451.936523, 16.339238, 964.707802, 11.530172
50.278951, 19.719629, 461.790000, 0.000000, 1234, 4636.281738, 4792.652344, 16.265466, 964.611495, 12.667674
50.278948, 19.719635, 461.050000, 0.000000, 1244, 4868.115234, 5032.304688, 16.285590, 964.581096, 13.521505
50.278947, 19.719638, 460.620000, 0.000000, 1254, 4987.810059, 5156.036133, 16.265466, 964.520349, 14.511658
50.278947, 19.719637, 460.390000, 0.000000, 1304, 5298.485352, 5411.580566, 16.339238, 964.747913, 15.524189
50.278946, 19.719637, 460.180000, 0.000000, 1313, 5493.000000, 5543.502930, 16.345943, 964.828928, 16.517602
50.278946, 19.719638, 460.060000, 0.000000, 1321, 5559.231445, 5815.926270, 16.278882, 964.605815, 17.524105
50.278945, 19.719638, 459.950000, 0.000000, 1323, 5762.203125, 5956.546875, 16.332533, 964.743472, 18.501757
50.278945, 19.719639, 459.870000, 0.002000, 1330, 5901.154297, 6173.156250, 16.278882, 964.609461, 19.521007
50.278945, 19.719639, 459.860000, 0.006000, 1333, 5971.744629, 6173.156250, 16.292297, 964.662111, 20.517993
50.278944, 19.719639, 459.840000, 0.011000, 1335, 6043.086914, 6100.186035, 16.305710, 964.667359, 21.497230
50.278944, 19.719640, 459.820000, 0.016000, 1341, 6115.188965, 6321.437500, 16.278882, 964.562063, 22.513921
50.278944, 19.719640, 459.830000, 0.022000, 1344, 6261.705566, 6472.897461, 16.312417, 964.693681, 23.511331
50.278944, 19.719640, 459.860000, 0.027000, 1344, 6336.135254, 6396.767090, 16.278882, 964.583939, 24.511469
50.278944, 19.719640, 459.880000, 0.033000, 1345, 6336.135254, 6549.836426, 16.339238, 964.755205, 25.551899
50.278944, 19.719640, 459.860000, 0.038000, 1350, 6411.356445, 6549.836426, 16.339238, 964.791670, 26.531002
50.278945, 19.719641, 459.870000, 0.044000, 1350, 6564.206543, 6706.179688, 16.278882, 964.605815, 27.507974
50.278945, 19.719641, 459.900000, 0.049000, 1351, 6411.356445, 6706.179688, 16.339238, 964.747913, 28.525250
50.278945, 19.719642, 459.930000, 0.055000, 1351, 6564.206543, 6785.600586, 16.339238, 964.744266, 29.508298
50.278946, 19.719642, 459.950000, 0.060000, 1351, 6487.378418, 6706.179688, 16.278882, 964.605815, 30.494932
50.278946, 19.719642, 459.930000, 0.066000, 1352, 6564.206543, 6785.600586, 16.305710, 964.612666, 31.514246
50.278946, 19.719643, 459.920000, 0.071000, 1352, 6487.378418, 6865.861816, 16.278882, 964.518312, 32.513839
50.278946, 19.719643, 459.910000, 0.076000, 1352, 6487.378418, 6865.861816, 16.305710, 964.605374, 33.490102
50.278947, 19.719643, 459.900000, 0.082000, 1352, 6487.378418, 6865.861816, 16.352647, 964.807841, 34.509953
50.278947, 19.719644, 459.930000, 0.091000, 1352, 6487.378418, 6865.861816, 16.285590, 964.577450, 36.493273
50.278947, 19.719644, 459.920000, 0.096000, 1352, 6641.850098, 6785.600586, 16.292297, 964.545437, 37.544553
50.278947, 19.719644, 459.920000, 0.100000, 1351, 6564.206543, 6865.861816, 16.352647, 964.756789, 38.505451
50.278947, 19.719644, 459.930000, 0.103000, 1352, 6641.850098, 6706.179688, 16.345943, 964.679421, 39.493128
50.278948, 19.719645, 459.980000, 0.104000, 1352, 6564.206543, 6785.600586, 16.359350, 964.721112, 40.512832
50.278948, 19.719645, 460.040000, 0.103000, 1351, 6411.356445, 6706.179688, 16.292297, 964.549083, 41.497152
50.278948, 19.719645, 460.080000, 0.101000, 1351, 6564.206543, 6706.179688, 16.339238, 964.667691, 42.489582
50.278948, 19.719645, 460.140000, 0.100000, 1350, 6411.356445, 6785.600586, 16.359350, 964.710172, 43.513699
50.278949, 19.719646, 460.180000, 0.098000, 1351, 6411.356445, 6627.595215, 16.292297, 964.483454, 44.517590
50.278949, 19.719646, 460.200000, 0.096000, 1345, 6487.378418, 6785.600586, 16.305710, 964.576205, 45.489505
50.278949, 19.719646, 460.200000, 0.094000, 1350, 6487.378418, 6706.179688, 16.305710, 964.576205, 46.517558
50.278949, 19.719646, 460.160000, 0.091000, 1350, 6487.378418, 6706.179688, 16.372757, 964.751859, 47.525058
50.278949, 19.719646, 460.120000, 0.089000, 1345, 6487.378418, 6706.179688, 16.352647, 964.665625, 48.495743
50.278949, 19.719646, 460.090000, 0.087000, 1345, 6336.135254, 6549.836426, 16.312417, 964.529601, 49.510254
50.278949, 19.719646, 460.070000, 0.084000, 1345, 6487.378418, 6549.836426, 16.386162, 964.713313, 50.519888
50.278949, 19.719646, 460.060000, 0.082000, 1345, 6411.356445, 6706.179688, 16.332533, 964.601263, 51.491368
50.278949, 19.719646, 460.040000, 0.080000, 1345, 6411.356445, 6549.836426, 16.319123, 964.559566, 52.512224
50.278949, 19.719646, 460.020000, 0.077000, 1344, 6336.135254, 6549.836426, 16.319123, 964.534042, 53.528113
50.278949, 19.719646, 459.980000, 0.075000, 1344, 6261.705566, 6549.836426, 16.372757, 964.631518, 54.491151
50.278949, 19.719646, 459.960000, 0.073000, 1344, 6411.356445, 6396.767090, 16.332533, 964.590324, 55.512061
50.278949, 19.719645, 459.960000, 0.071000, 1344, 6336.135254, 6472.897461, 16.319123, 964.541335, 56.505389
50.278949, 19.719646, 459.930000, 0.068000, 1343, 6261.705566, 6472.897461, 16.386162, 964.753428, 57.491330
50.278949, 19.719646, 459.900000, 0.066000, 1343, 6261.705566, 6396.767090, 16.399566, 964.758637, 58.513102
50.278948, 19.719645, 459.890000, 0.064000, 1342, 6115.188965, 6396.767090, 16.386162, 964.720606, 59.531100
50.278948, 19.719645, 459.870000, 0.062000, 1343, 6261.705566, 6396.767090, 16.359350, 964.655473, 60.491112
