lat, lon, alt, ozone, mq7, mq135_ppm, mq135_cor, bmp180_temp, bmp180_press, exectime
50.279088, 19.713976, 572.100000, 0.279000, 1230, 3997.734619, 4081.324951, 14.631380, 951.495275, 362.495789
50.279033, 19.713992, 571.230000, 0.290000, 1230, 3899.128662, 4030.636719, 14.631380, 951.546125, 363.493817
50.278986, 19.714032, 571.530000, 0.301000, 1230, 3850.622314, 4030.636719, 14.638177, 951.587059, 364.503979
50.278947, 19.714082, 571.370000, 0.310000, 1230, 3899.128662, 4030.636719, 14.604188, 951.611202, 365.499185
50.278923, 19.714143, 571.130000, 0.318000, 1230, 3899.128662, 4030.636719, 14.481746, 951.447951, 366.506190
50.278916, 19.714213, 570.460000, 0.326000, 1225, 3899.128662, 3980.493408, 14.542982, 951.758412, 367.513927
50.278921, 19.714287, 570.200000, 0.332000, 1230, 3899.128662, 4030.636719, 14.413669, 951.561183, 368.503634
50.278933, 19.714360, 569.620000, 0.338000, 1230, 3850.622314, 4030.636719, 14.393239, 951.645213, 369.503889
50.278944, 19.714452, 568.100000, 0.344000, 1225, 3802.641846, 4030.636719, 14.352368, 951.907586, 370.504677
50.278952, 19.714563, 565.350000, 0.349000, 1225, 3899.128662, 4030.636719, 14.325112, 952.295387, 371.506025
50.278951, 19.714698, 562.390000, 0.353000, 1224, 3850.622314, 3980.493408, 14.250128, 952.537656, 372.497401
50.278942, 19.714845, 560.950000, 0.356000, 1224, 3850.622314, 4030.636719, 14.195565, 952.648693, 373.517144
50.278926, 19.714990, 559.940000, 0.359000, 1224, 3850.622314, 4030.636719, 14.134152, 952.751232, 374.494453
50.278908, 19.715134, 559.190000, 0.361000, 1223, 3802.641846, 3980.493408, 14.093193, 952.827969, 375.495679
50.278885, 19.715275, 559.350000, 0.363000, 1224, 3899.128662, 3980.493408, 14.086365, 952.964702, 376.501783
50.278858, 19.715416, 559.540000, 0.365000, 1222, 3850.622314, 3980.493408, 13.949724, 952.742378, 377.517140
50.278833, 19.715556, 559.260000, 0.366000, 1222, 3802.641846, 3930.895020, 13.908701, 952.855088, 378.497087
50.278809, 19.715697, 558.910000, 0.366000, 1222, 3850.622314, 3930.895020, 13.867664, 952.837180, 379.510282
50.278787, 19.715838, 558.740000, 0.367000, 1222, 3802.641846, 3980.493408, 13.888184, 952.985750, 380.512857
50.278763, 19.715975, 558.930000, 0.367000, 1221, 3802.641846, 3881.829346, 13.792393, 952.860402, 381.496624
50.278738, 19.716109, 559.050000, 0.368000, 1222, 3755.177246, 3881.829346, 13.792393, 952.943787, 382.501568
50.278712, 19.716240, 559.450000, 0.368000, 1221, 3755.177246, 3833.297852, 13.675970, 952.789130, 383.512716
50.278686, 19.716371, 559.660000, 0.369000, 1220, 3755.177246, 3930.895020, 13.621144, 952.688716, 384.485156
50.278663, 19.716504, 559.800000, 0.369000, 1221, 3802.641846, 3881.829346, 13.566292, 952.660693, 385.508168
50.278643, 19.716636, 559.960000, 0.370000, 1221, 3802.641846, 3881.829346, 13.621144, 952.898911, 386.505144
50.278625, 19.716770, 559.780000, 0.371000, 1220, 3802.641846, 3881.829346, 13.586864, 952.907211, 387.499880
50.278610, 19.716904, 559.620000, 0.372000, 1220, 3802.641846, 3930.895020, 13.545716, 952.903347, 388.519948
50.278602, 19.717039, 559.340000, 0.373000, 1220, 3708.228271, 3930.895020, 13.490828, 953.009210, 389.498836
50.278604, 19.717171, 559.060000, 0.374000, 1215, 3755.177246, 3930.895020, 13.463375, 952.993260, 390.493282
50.278618, 19.717301, 558.530000, 0.375000, 1220, 3802.641846, 3930.895020, 13.442781, 953.036526, 391.514675
50.278642, 19.717425, 558.320000, 0.377000, 1215, 3755.177246, 3881.829346, 13.387846, 953.004509, 392.512200
50.278673, 19.717547, 557.810000, 0.379000, 1215, 3755.177246, 3833.297852, 13.271023, 952.877303, 393.496477
50.278708, 19.717668, 557.440000, 0.381000, 1215, 3708.228271, 3881.829346, 13.326013, 953.210119, 394.515484
50.278747, 19.717786, 557.320000, 0.384000, 1214, 3708.228271, 3930.895020, 13.284773, 953.194991, 395.512687
