lat, lon, alt, ozone, mq7, mq135_ppm, mq135_cor, bmp180_temp, bmp180_press, exectime
50.273629, 19.724261, 553.510000, 0.484000, 1131, 2869.583740, 2966.367188, 8.351763, 953.718905, 709.987837
50.273722, 19.724343, 553.760000, 0.482000, 1130, 2945.375244, 3044.715332, 8.358954, 953.717902, 710.995999
50.273830, 19.724373, 554.180000, 0.480000, 1130, 2869.583740, 2966.367188, 8.337380, 953.531096, 711.991612
50.273945, 19.724363, 554.580000, 0.478000, 1131, 2907.269043, 3044.715332, 8.258234, 953.309244, 713.024307
50.274062, 19.724326, 555.110000, 0.476000, 1130, 2945.375244, 2966.367188, 8.243837, 953.236014, 713.987862
50.274179, 19.724263, 555.670000, 0.475000, 1130, 2945.375244, 3005.323242, 8.330187, 953.446146, 715.004957
50.274292, 19.724161, 555.980000, 0.473000, 1130, 2907.269043, 3005.323242, 8.222238, 953.167337, 715.984638
50.274394, 19.724024, 556.110000, 0.471000, 1130, 2945.375244, 3005.323242, 8.229438, 953.195005, 716.999791
50.274480, 19.723853, 556.630000, 0.470000, 1130, 2945.375244, 3005.323242, 8.308606, 953.313057, 717.981452
50.274547, 19.723657, 557.070000, 0.468000, 1130, 2907.269043, 3005.323242, 8.236638, 953.176124, 718.999693
50.274592, 19.723443, 557.450000, 0.467000, 1130, 2869.583740, 3005.323242, 8.301412, 953.249595, 720.017541
50.274613, 19.723220, 558.290000, 0.466000, 1125, 2869.583740, 3044.715332, 8.287021, 953.033147, 720.982009
50.274601, 19.722995, 559.300000, 0.465000, 1125, 2907.269043, 3044.715332, 8.294217, 952.960531, 722.005774
50.274531, 19.722809, 560.130000, 0.464000, 1125, 2832.314453, 2889.740234, 8.186230, 952.545672, 723.002412
50.274413, 19.722783, 561.000000, 0.463000, 1130, 2795.457031, 2889.740234, 8.186230, 952.470491, 724.008399
50.274341, 19.722896, 561.330000, 0.462000, 1125, 2759.008057, 2852.062012, 8.265431, 952.731762, 724.985943
50.274283, 19.723027, 561.290000, 0.462000, 1125, 2759.008057, 2889.740234, 8.179026, 952.596767, 726.024786
50.274218, 19.723151, 561.600000, 0.461000, 1130, 2759.008057, 2814.801758, 8.279825, 952.783482, 727.015703
50.274141, 19.723260, 561.760000, 0.460000, 1130, 2759.008057, 2889.740234, 8.265431, 952.685213, 727.984100
50.274050, 19.723340, 561.950000, 0.460000, 1130, 2795.457031, 2889.740234, 8.243837, 952.731156, 729.016576
50.273944, 19.723384, 561.810000, 0.459000, 1131, 2869.583740, 2966.367188, 8.258234, 952.800788, 729.977588
50.273830, 19.723378, 561.850000, 0.459000, 1131, 2832.314453, 2889.740234, 8.143003, 952.451254, 730.982765
50.273716, 19.723323, 561.740000, 0.459000, 1130, 2832.314453, 2927.841309, 8.243837, 952.849314, 732.001011
50.273605, 19.723233, 561.350000, 0.459000, 1131, 2832.314453, 2966.367188, 8.229438, 952.887087, 733.006610
50.273498, 19.723119, 560.690000, 0.459000, 1130, 2832.314453, 3005.323242, 8.229438, 952.983759, 733.980645
50.273397, 19.722983, 560.000000, 0.459000, 1130, 2869.583740, 2927.841309, 8.121382, 952.729765, 735.020577
50.273303, 19.722829, 559.280000, 0.459000, 1131, 2832.314453, 2966.367188, 8.215037, 953.171892, 735.998294
50.273219, 19.722657, 558.430000, 0.459000, 1130, 2832.314453, 2966.367188, 8.207836, 953.219407, 737.004163
